      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
  1.000000     1.000000     2.000000     1.000000     0.000000     1.500000     0.333333     0.000000     0.000000     0.000000     0.317452   
  2.000000     0.000000     1.500000     0.333333     1.166667     1.250000     0.111111     1.166667     0.250000     0.222222     0.446775   
  3.000000     1.166667     1.250000     0.111111     1.638889     1.125000     0.037037     0.472222     0.125000     0.074074     0.511583   
  4.000000     1.638889     1.125000     0.037037     1.837963     1.062500     0.012346     0.199074     0.062500     0.024691     0.452359   
  5.000000     1.837963     1.062500     0.012346     1.925154     1.031250     0.004115     0.087191     0.031250     0.008230     0.489536   
  6.000000     1.925154     1.031250     0.004115     1.964635     1.015625     0.001372     0.039480     0.015625     0.002743     0.509121   
  7.000000     1.964635     1.015625     0.001372     1.983003     1.007813     0.000457     0.018368     0.007813     0.000914     0.427264   
  8.000000     1.983003     1.007813     0.000457     1.991730     1.003906     0.000152     0.008727     0.003906     0.000305     0.505976   
  9.000000     1.991730     1.003906     0.000152     1.995941     1.001953     0.000051     0.004211     0.001953     0.000102     0.462122   
 10.000000     1.995941     1.001953     0.000051     1.997996     1.000977     0.000017     0.002055     0.000977     0.000034     0.480352   
 11.000000     1.997996     1.000977     0.000017     1.999007     1.000488     0.000006     0.001010     0.000488     0.000011     0.533512   
 12.000000     1.999007     1.000488     0.000006     1.999506     1.000244     0.000002     0.000500     0.000244     0.000004     0.604562   
